cv000_29590.txt;alan moore;eddie campbell;moore;campbell;jack;michael jackson;albert;allen hughes;peter godley;robbie coltrane;frederick abberline;johnny depp;abberline;mary kelly;heather graham;terry hayes;rafael yglesias;steve guttenberg;tim burton;marilyn manson;peter deming;martin childs;depp;ians holm;joe gould;richardson;graham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv001_18431.txt;matthew broderick;reese witherspoon;george washington carver;tracy flick;paul;max fischer;bill murray;broderick;witherspoon;jessica campbell;tammy;rooney;campbell;alexander payne;tracy;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv002_15918.txt;ryan;hanks;tom hanks;joe fox;meg ryan;kathleen kelley;fox;kelley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv003_11664.txt;john williams;steven spielberg;spielberg;williams;martin brody;roy scheider;larry vaughn;murray hamilton;brody;matt hooper;richard dreyfuss;hooper;vaughn;quint;robert shaw;hitchcock;scheider;dreyfuss;shaw;robert redford;paul newman;duddy kravitz;ahab;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv004_11636.txt;herb;jackie chan;barry sanders;sanders;jackie;chan;bruce lee;tim allen;lawrence kazdan;john williams;spielberg;george lucas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv005_29443.txt;raoul peck;lumumba;patrice lumumba;eriq ebouaney;helmer peck;peck;pascal bonitzer;patrice;joseph kasa vubu;maka kotto;moise tschombe;pascal nzonzi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv006_15448.txt;tony kaye;edward norton;norton;derek vinyard;danny;edward furlong;beverly dangelo;davin;jennifer lien;derek;kaye;avery brooks;furlong;dangelo;lien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv007_4968.txt;betsy;molly ringwald;alan alda;ringwald;alda;dylan walsh;walsh;madeline kahn;ally sheedy;sheedy;anthony lapaglia;lapaglia;stevie dee;robert de niro;alec baldwin;de niro;joe pesci;catherine ohara;woody allen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv008_29435.txt;lumumba;janssens;rudi delhem;moise tshombe;pascal nzonzi;mobutu;joseph kasa vubu;maka kotto;peck;bonitzer;ebouaney;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cv009_29592.txt;schwartznager;stallone;van damme;rongguang yu;wong fei-hong;jackie chan;fei-hong;sze-man tsang;wong kei-ying;yen chi dan;yuen wo ping;fox;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
